"protein","role","platforms_tested","decode_verdict","ukbppp_verdict","decode_or","decode_ci","ukbppp_or","ukbppp_ci","decode_F","ukbppp_F","decode_pp4","ukbppp_pp4","decode_coloc_method","ukbppp_coloc_method","decode_pp4_estimable","ukbppp_pp4_estimable","min_detectable_or_80","ukbppp_min_detectable_or_80","egger_intercept_p","wmedian_or","has_strand_ambiguous","causal_call","pleiotropy_flag","pleiotropy_notes"
"PDGFRB","primary",2,"null","null",0.992,"0.961-1.024",0.973,"0.922-1.027",13778.65,2252.45,0.0,0.0,"coloc.susie_noCS","coloc.susie_noCS",False,False,1.046439,1.080343,0.04474579488337007,0.9999154012098131,True,"null",True,"Ischaemic stroke (OR=0.974, p=0.0151)"
"ICAM1","secondary",2,"null","positive",0.988,"0.937-1.043",1.176,"1.046-1.321",1198.68,744.29,0.0,0.0,"coloc.susie_noCS","coloc.susie_noCS",False,False,1.079606,1.181606,0.49323262631872233,1.0012057270582364,False,"discordant",False,"no significant phewas hits"
"VCAM1","secondary",1,"","positive","","",4.541,"1.756-11.743","",49.33,"",0.0,"","coloc.susie_noCS","",False,3.889529,3.889529,"","",False,"inconclusive","","not in phewas scan"
"MMP9","secondary",2,"inconclusive","inconclusive",0.896,"0.559-1.434",0.959,"0.758-1.215",68.82,354.19,0.01786338951,0.007165648778,"coloc.abf","coloc.abf",True,True,1.95948,1.401997,"","",False,"inconclusive","","not in phewas scan"
"MMP2","secondary",1,"inconclusive","",0.787,"0.518-1.197","","",87.4,"",0.0,"","coloc.susie_noCS","",False,"",1.820139,"","","",False,"inconclusive","","not in phewas scan"
"TIMP1","secondary",0,"","","","","","","","","","","","","","","","","","",False,"not_testable","","not in phewas scan"
